label,area_filled,perimeter,axis_major_length,axis_minor_length,eccentricity,area,intensity_mean,intensity_max,intensity_min
0,,,,,,,,,
1,14.0,14.414213562373096,8.246211251235321,1.9794866372215747,0.97076101630644,14.0,74.21428571428571,89.0,59.0
2,226.0,55.79898987322333,18.48492704082718,16.226430798065454,0.4789914339783646,226.0,108.84513274336284,209.0,37.0
3,83.0,35.89949493661167,15.108542753227468,7.366140382217728,0.8730961632404963,83.0,88.12048192771084,169.0,37.0
4,236.0,56.87005768508881,19.04776862920078,16.32433338409757,0.5152818603294829,236.0,77.73305084745763,125.0,41.0
5,258.0,57.45584412271571,20.426963897139597,16.119166916283113,0.6142490516739021,258.0,104.37596899224806,218.0,36.0
6,141.0,40.970562748477136,13.389950714690624,13.38021033730748,0.0381359355798158,141.0,74.44680851063829,102.0,45.0
7,163.0,46.62741699796952,16.593487414863198,12.760650549119823,0.6392300205152683,163.0,74.71779141104294,147.0,38.0
8,132.0,40.62741699796952,14.12404130713554,11.932776848108844,0.5349942439544312,132.0,88.12878787878788,164.0,36.0
9,227.0,53.79898987322333,19.105955557064096,15.263266815738822,0.6014973160404392,227.0,125.08370044052865,247.0,27.0
10,102.0,39.31370849898476,15.872129652347825,8.658597438567906,0.8380964399128614,102.0,87.92156862745098,140.0,37.0
11,256.0,57.698484809834994,19.288035890066404,17.002606119736036,0.4721644228491528,256.0,97.33984375,180.0,34.0
12,275.0,60.87005768508881,19.62649953480677,18.32462066788287,0.3581415757083195,275.0,95.0,191.0,31.0
13,145.0,42.38477631085024,13.829238733623953,13.428232775674012,0.2390671598558606,145.0,80.95172413793104,150.0,41.0
14,263.0,58.2842712474619,19.01806543350642,17.655582617207063,0.3716860280383129,263.0,85.72623574144487,136.0,39.0
15,278.0,61.35533905932738,21.621254129317037,16.64431268116382,0.6382700404837951,278.0,92.62230215827338,172.0,34.0
16,255.0,57.698484809834994,19.19435979259306,16.93673203489292,0.4705362419282335,255.0,95.83529411764704,201.0,39.0
17,163.0,45.21320343559643,14.977668028331571,13.968108471910927,0.3609228464720282,163.0,75.09815950920246,119.0,45.0
18,267.0,61.4558441227157,22.08041601544865,15.58851566460279,0.7082234825045493,267.0,96.53183520599252,251.0,31.0
19,310.0,65.11269837220809,23.920517253350017,16.580890829522716,0.7207779169912576,310.0,99.08387096774192,255.0,33.0
20,276.0,59.698484809834994,19.17989440497932,18.445294768342784,0.2741059664131236,276.0,106.3913043478261,195.0,33.0
21,274.0,59.11269837220809,20.51323352698465,17.010552115650874,0.5588812219095061,274.0,96.47080291970804,198.0,38.0
22,148.0,42.970562748477136,15.84780617517351,11.935105665642697,0.6578971921966663,148.0,81.01351351351352,119.0,35.0
23,75.0,35.69238815542512,15.811075005366922,6.369897649377911,0.9152547097167152,75.0,85.2,122.0,39.0
24,269.0,59.112698372208094,19.413296708183644,17.75142307185678,0.4048229620180184,269.0,105.70260223048328,200.0,33.0
25,154.0,43.79898987322333,14.696946276739354,13.36011234915779,0.4167088198937421,154.0,89.3896103896104,192.0,40.0
26,152.0,43.79898987322333,14.859977232920508,13.045187676397395,0.4788916760642079,152.0,82.125,170.0,39.0
27,67.0,27.31370849898476,10.119262469031607,8.384297850809082,0.5599175765113138,67.0,74.40298507462687,97.0,52.0
28,148.0,42.62741699796952,14.613747538059132,12.915897706826213,0.4678302985693364,148.0,82.0,139.0,39.0
29,157.0,44.2842712474619,15.57783777802714,12.971610984356468,0.5537296633385383,157.0,77.4267515923567,118.0,40.0
30,293.0,61.11269837220809,20.115722009003413,18.619822195992505,0.378416844244657,293.0,107.6382252559727,208.0,33.0
31,795.0,129.29646455628165,50.89515506368456,22.875024837443743,0.8933035380824103,795.0,81.98238993710692,185.0,33.0
32,287.0,76.76955262170047,27.975792055578083,14.78762673809726,0.8488794286616944,287.0,91.23344947735193,184.0,28.0
33,429.0,79.59797974644667,30.21882116729518,18.437654317914703,0.7922950784844954,429.0,94.4895104895105,174.0,36.0
34,263.0,61.112698372208094,20.41661767862061,16.617012430448437,0.5810099707862236,263.0,69.77566539923954,141.0,40.0
35,281.0,63.698484809834994,23.554226838166866,15.599185615710216,0.7492679805866858,281.0,80.19217081850533,135.0,37.0
36,274.0,60.87005768508881,22.55266663671927,15.46923749115036,0.7276806185737763,274.0,109.87591240875912,224.0,34.0
37,155.0,44.62741699796952,14.934086601713773,13.267355199142498,0.4590815081035467,155.0,74.36774193548388,139.0,43.0
38,324.0,67.94112549695427,22.85584771336936,18.822653531443255,0.5672614607637757,324.0,78.1358024691358,134.0,40.0
39,510.0,83.59797974644665,29.08311289805088,22.64598747451617,0.6274405160561302,510.0,116.46078431372548,223.0,35.0
40,415.0,83.97665940288701,28.299114733152468,20.012246089519337,0.7070449307281965,415.0,97.63614457831324,231.0,34.0
41,256.0,57.698484809834994,20.226536834403877,16.156204686559384,0.60164609994963,256.0,84.03515625,164.0,36.0
42,272.0,59.11269837220809,20.288442390954295,17.106885787164412,0.5376254207710772,272.0,80.65073529411765,127.0,43.0
43,277.0,60.52691193458119,20.60144454997579,17.276212735038758,0.5447595406266308,277.0,107.84837545126354,255.0,34.0
44,198.0,54.87005768508881,18.71551686605938,13.837300437217625,0.6733222982462079,198.0,75.47474747474747,120.0,42.0
45,250.0,56.2842712474619,18.511808601389674,17.205258216763717,0.3690218849165004,250.0,91.784,188.0,45.0
46,339.0,71.35533905932738,27.826134220038146,15.88133429500443,0.8211346730388955,339.0,97.57522123893806,164.0,33.0
